file,species
948cdb277.png,Cleavers
d2f0f326e.png,Charlock
36ed4f215.png,Common Chickweed
da231c97f.png,Scentless Mayweed
b6f3d8b5d.png,Scentless Mayweed
33317fc2a.png,Fat Hen
c35efa095.png,Scentless Mayweed
b4c3df835.png,Maize
35a90f8d0.png,Scentless Mayweed
eec1079a1.png,Charlock
6049234e6.png,Fat Hen
8e29abce1.png,Scentless Mayweed
4ac29bbf0.png,Common Chickweed
f6d250856.png,Shepherds Purse
c2de6020a.png,Small-flowered Cranesbill
5b3000b9a.png,Maize
ef02b4ee7.png,Sugar beet
5eb9c26a6.png,Loose Silky-bent
a935ca110.png,Loose Silky-bent
851c90831.png,Black-grass
bd789d151.png,Common Chickweed
fea3da57c.png,Sugar beet
b341d0aab.png,Common Chickweed
615d2b0a9.png,Sugar beet
11d3f68ff.png,Loose Silky-bent
cc74feadc.png,Black-grass
8c98a6e9b.png,Loose Silky-bent
d0cdc768f.png,Common wheat
5bc6595f6.png,Maize
606647f64.png,Common Chickweed
1fefb54b7.png,Fat Hen
ac75d3326.png,Loose Silky-bent
4c5ab9b68.png,Cleavers
122913909.png,Maize
0751c0bbc.png,Sugar beet
590f5aea6.png,Charlock
a85b48a95.png,Scentless Mayweed
37c3108d6.png,Shepherds Purse
7696badea.png,Black-grass
98da6ef4e.png,Scentless Mayweed
22e79540f.png,Cleavers
ba3ce6b3e.png,Scentless Mayweed
3d65168c2.png,Common Chickweed
8ab8a958b.png,Fat Hen
2406d6c99.png,Shepherds Purse
b944a49ca.png,Loose Silky-bent
96f14d90c.png,Sugar beet
a890ac088.png,Charlock
37e545a60.png,Common Chickweed
647689543.png,Loose Silky-bent
ef3e232ad.png,Common Chickweed
c50335991.png,Fat Hen
fadc6adbc.png,Charlock
29f49cd0b.png,Fat Hen
fbf88b6be.png,Charlock
bb1c84bbc.png,Loose Silky-bent
d563be369.png,Fat Hen
8cf909eb3.png,Charlock
995c7ab1e.png,Common wheat
